prompt,reference,text
We’re here to improve the world and promote freedom,Rosa Parks,"I believe we are here on the planet Earth to live, grow up and do what we can to make this world a better place for all people to enjoy freedom."
Self-love is the start of a lifelong romance,Oscar Wilde,To love oneself is the beginning of a lifelong romance.
The value of a pause between breaths,Etty Hillesum,Sometimes the most important thing in a whole day is the rest we take between two deep breaths.
Even you can reset if you unplug,Anne Lamott,"Almost everything will work again if you unplug it for a few minutes, including you."
Solitude and loving others without escape,Bell Hooks,"Knowing how to be solitary is central to the art of loving. When we can be alone, we can be with others without using them as a means of escape."
Enjoying wasted time isn’t a waste,Unknown,Time you enjoy wasting is not wasted time.
Self-care as reclaiming your power,Lalah Delia,Self-care is how you take your power back.
Happiness never goes out of fashion,Lilly Pulitzer,Being happy never goes out of style.
Negativity as fuel for transformation,Beyoncé Knowles,"When I’m not feeling my best I ask myself, 'What are you gonna do about it?' I use the negativity to fuel the transformation into a better me."
"You’re braver, stronger, and smarter than you think",A.A. Mine,"You’re braver than you believe, and stronger than you seem, and smarter than you think."
No one makes you feel inferior without permission,Eleanor Roosevelt,No one can make you feel inferior without your consent.
True abundance comes from self-worth,Gabrielle Bernstein,"True abundance isn’t based on our net worth, it’s based on our self-worth."
Being yourself in a conformist world,Ralph Waldo Emerson,To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
We are shaped by everything we experience,Maya Angelou,"You are the sum total of everything you've ever seen, heard, eaten, smelled, been told, forgot—it's all there. Everything influences each of us, and because of that I try to make sure that my experiences are positive."
Falling apart may mean falling into place,Unknown,"Sometimes, when things are falling apart, they may actually be falling into place."
A dead end is the best place to turn around,Naomi Judd,A dead end is just a good place to turn around.
Miracles just need time,"The Fairy Godmother, Cinderella",Even miracles take a little time.
"Triple encouragement: bravery, strength, smarts",A.A. Mine,"You’re braver than you believe, and stronger than you seem, and smarter than you think."
Find who you are and do it on purpose,Dolly Parton,Find out who you are and do it on purpose.
The rainbow comes after the rain,Dolly Parton,"The way I see it, if you want the rainbow, you gotta put up with the rain!"
Life’s like a box of chocolates,Forrest Gump,"My mama always said, life is like a box of chocolates. You never know what you're gonna get."
Be a rainbow in someone else’s cloud,Maya Angelou,Try to be a rainbow in someone else’s cloud.
Humor in life as a lifesaver,Betty White,"It's your outlook on life that counts. If you take yourself lightly and don't take yourself too seriously, pretty soon you can find the humor in our everyday lives. And sometimes it can be a lifesaver."
Each day brings gifts if you untie the ribbon,Ann Ruth Schabacker,Each day comes bearing its gifts. Untie the ribbon.
Positivity attracts positivity,Jim Thompson,"Say something positive, and you’ll see something positive."
"Success needs wishbone, backbone, funny bone",Reba McEntire,"To succeed in life, you need three things: a wishbone, a backbone, and a funny bone."
Success comes from hard work not dreams,Estée Lauder,I never dreamed about success. I worked for it.
Ignorance and confidence guarantee success,Mark Twain,All you need in this life is ignorance and confidence; then success is sure.
Success is how you treat others,Barbara Bush,Never lose sight of the fact that the most important yard stick to your success is how you treat other people.
Getting up after falling defines success,Jon Bon Jovi,Success is falling nine times and getting up ten.
Success is meaningful only when it’s yours,Michelle Obama,Success is only meaningful and enjoyable if it feels like your own.
Judge not by success but by resilience,Nelson Mandela,"Do not judge me by my success, judge me by how many times I fell down and got back up again."
Failure flavors success,Truman Capote,Failure is the condiment that gives success its flavor.
Getting ahead starts with starting,Mark Twain,The secret to getting ahead is getting started.
Overcoming defines success,"Fannie Flagg, The All-Girl Filling Station's Last Reunion","Being a successful person is not necessarily defined by what you have achieved, but by what you have overcome."
Failure comes right before success,Thomas A. Edison,Many of life’s failures are people who did not realize how close they were to success when they gave up.
Money reveals the real you,Will Smith,Money and success don’t change people; they merely amplify what is already there.
"Look ahead, not back",Ann Richards,"I have very strong feelings about how you lead your life. You always look ahead, you never look back."
Choose love over hate,Johnny Cash,"All your life, you will be faced with a choice. You can choose love or hate…I choose love."
Lead from the heart,Princess Diana,"I don't go by the rule book…I lead from the heart, not the head."
Life’s events form a thread of meaning,Eudora Welty,"The events in our lives happen in a sequence in time, but in their significance to ourselves they find their own order the continuous thread of revelation."
Right time to do what’s right,Martin Luther King Jr.,The time is always right to do what is right.
Best thing to hold is each other,Audrey Hepburn,The best thing to hold onto in life is each other.
Life isn’t for spectators,Jackie Robinson,"Life is not a spectator sport. If you're going to spend your whole life in the grandstand just watching what goes on, in my opinion you're wasting your life."
Pave a new road if needed,Dolly Parton,"If you don't like the road you're walking, start paving another one."
Live like it's spring,Lilly Pulitzer,"Despite the forecast, live like it's spring."
Didn’t do it all but tired anyway,Willie Nelson,"If I'd have done all the things I was supposed to have done, I'd be really tired."
Small things done greatly matter,Napoleon Hill,"If you cannot do great things, do small things in a great way."
Winning may take multiple battles,Margaret Thatcher,You may have to fight a battle more than once to win it.
Where you start isn’t where you go,Nido Qubein,Your present circumstances don't determine where you can go; they merely determine where you start.
Greatness starts with starting,Zig Ziglar,"You don't have to be great to start, but you have to start to be great."
Limits are self-made,Les Brown,"Life has no limitations, except the ones you make."
Biggest days: born and find out why,Mark Twain,The two most important days in your life are the day you are born and the day you find out why.
Improve yourself not just others,William Faulkner,Don't bother just to be better than your contemporaries or predecessors. Try to be better than yourself.
You steer your life,"Dr. Seuss, Oh, The Places You'll Go",You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.
Life’s value is its impact,Jackie Robinson,A life is not important except in the impact it has on other lives.
Fragility of life is motivation,Julia Roberts,"The older you get, the more fragile you understand life to be. I think that's good motivation for getting out of bed joyfully each day."
Life is about small moments,Joanna Gaines,"Now it's the little moments that stop me in my tracks, because that's what life is all about."
